latency,FF,LUT,solution
578,1177,1399,sol_1_1_1_2_2_1_1_2_0_0_0_
387,3142,4217,sol_8_0_1_1_2_1_2_2_0_1_1_
217,1182,1410,sol_2_0_2_1_2_1_1_1_0_0_0_
237,2114,2335,sol_1_1_2_2_2_2_2_2_0_1_0_
234,4343,5813,sol_16_0_1_2_2_2_2_1_0_1_0_
213,3557,4646,sol_8_0_1_2_2_2_2_1_0_1_2_
225,2298,2894,sol_2_0_2_2_2_1_1_1_0_1_2_
545,1701,2148,sol_1_0_2_2_1_1_2_1_0_1_1_
195,1733,2152,sol_2_1_1_1_2_1_1_1_0_1_0_
194,2872,3561,sol_4_1_2_1_2_1_2_2_0_1_2_
386,1996,2451,sol_2_1_1_2_2_1_2_2_0_1_1_
576,4334,6439,sol_16_0_1_1_1_2_2_2_0_0_0_
194,3442,4581,sol_8_1_1_1_1_1_1_1_0_1_2_
576,4231,6408,sol_16_0_2_1_1_2_1_2_0_0_0_
407,3448,5027,sol_8_0_2_1_1_1_2_1_0_1_0_
217,2201,2772,sol_4_0_2_2_2_2_2_1_0_1_1_
389,2318,2928,sol_4_0_1_2_1_1_1_2_0_1_1_
389,2265,2908,sol_4_0_1_1_2_2_1_2_0_1_1_
247,3038,3992,sol_8_0_2_2_2_1_2_1_0_0_1_
386,3040,4178,sol_8_1_1_2_2_2_1_2_0_1_1_
625,2046,2478,sol_1_0_1_1_1_2_2_2_0_0_1_
196,1012,1221,sol_1_1_1_2_2_2_1_1_0_0_0_
234,4446,5844,sol_16_0_1_2_1_2_1_2_0_1_0_
58,4806,6147,sol_16_1_1_2_2_1_1_1_0_1_2_
578,1518,1900,sol_2_1_2_2_1_1_2_2_0_0_0_
236,1700,2066,sol_1_1_1_2_2_1_2_1_0_0_1_
194,2800,3539,sol_4_1_1_1_2_2_1_2_0_1_2_
386,1925,2387,sol_2_1_1_2_2_1_1_2_0_1_1_
236,2240,2821,sol_4_1_2_2_1_2_1_2_0_1_0_
213,3009,3946,sol_8_0_2_1_2_1_2_1_0_1_1_
61,5014,6201,sol_16_1_2_2_1_2_2_2_0_1_2_
194,2894,3881,sol_8_1_2_1_1_1_1_1_0_1_1_
66,4217,5543,sol_16_1_1_1_1_2_1_1_0_0_1_
236,3249,4563,sol_8_1_2_2_1_1_2_2_0_0_1_
217,1732,2135,sol_2_0_2_2_2_2_1_1_0_0_1_
609,1931,2289,sol_1_0_2_2_1_2_1_2_0_1_1_
413,2481,3283,sol_4_0_2_1_1_1_2_1_0_1_1_
236,1914,2196,sol_1_1_2_1_2_1_2_2_0_1_0_
349,2410,3002,sol_4_0_2_2_2_1_2_2_0_0_1_
236,3017,4019,sol_8_1_2_1_2_2_2_2_0_1_0_
429,1671,2176,sol_4_0_1_2_2_2_2_1_0_0_0_
237,2116,2337,sol_1_1_2_2_1_2_2_2_0_1_0_
61,4808,6139,sol_16_1_1_1_1_1_2_1_0_1_2_
236,3056,3964,sol_8_1_2_1_2_1_2_2_0_1_0_
545,2249,2848,sol_1_0_1_2_1_1_2_1_0_1_2_
473,1963,2497,sol_2_0_2_1_1_2_2_1_0_1_0_
457,2655,3315,sol_2_0_2_1_1_2_2_2_0_1_2_
236,1951,2283,sol_2_1_1_1_2_2_1_2_0_1_0_
576,4334,6439,sol_16_1_2_2_1_1_2_2_0_0_0_
384,4670,6449,sol_16_0_2_1_1_1_1_2_0_1_1_
217,1182,1410,sol_2_0_1_2_2_1_1_1_0_0_0_
313,1902,2337,sol_2_0_1_1_1_2_1_2_0_0_1_
386,1900,2370,sol_2_1_2_2_2_2_1_2_0_1_1_
576,4231,6408,sol_16_0_1_2_1_2_1_2_0_0_0_
473,1966,2414,sol_2_0_2_1_2_1_1_2_0_0_1_
217,1182,1410,sol_2_0_2_2_1_1_1_1_0_0_0_
217,1732,2135,sol_2_0_2_2_1_2_1_1_0_0_1_
394,3946,5680,sol_16_1_1_2_1_1_2_1_0_0_0_
234,4549,5875,sol_16_1_2_2_2_2_2_2_0_1_0_
194,2282,2877,sol_2_1_2_1_2_2_1_1_0_1_2_
195,1561,1924,sol_1_1_1_1_2_1_1_1_0_1_0_
578,1281,1510,sol_1_1_2_2_2_1_2_2_0_0_0_
58,4136,5407,sol_16_1_1_1_1_1_1_1_0_1_0_
217,1731,2142,sol_2_0_2_1_2_2_1_1_0_1_0_
585,1570,1927,sol_2_0_2_1_1_1_2_2_0_0_0_
585,1574,1941,sol_2_0_2_2_1_2_2_2_0_0_0_
384,4661,6380,sol_16_0_1_1_2_2_2_2_0_1_1_
563,3692,5365,sol_8_0_2_2_1_2_2_2_0_1_1_
236,1915,2361,sol_2_1_2_2_1_2_2_1_0_0_1_
195,1734,2145,sol_2_1_1_1_2_2_1_1_0_0_1_
473,1414,1796,sol_2_0_1_2_1_2_2_1_0_0_0_
194,1887,2363,sol_2_1_1_1_1_1_2_1_0_1_1_
194,2435,3063,sol_2_1_2_1_1_2_2_1_0_1_2_
545,1701,2148,sol_1_0_1_2_1_2_2_1_0_1_1_
236,1777,2056,sol_1_1_1_1_2_1_1_2_0_1_0_
309,2316,2878,sol_4_0_1_1_1_1_1_2_0_1_0_
236,3154,4502,sol_8_1_2_1_1_1_2_1_0_1_0_
194,1562,1919,sol_1_1_1_1_2_2_1_1_0_1_1_
194,3719,5163,sol_8_1_2_1_1_1_2_1_0_1_2_
209,4488,5947,sol_16_0_2_2_2_2_2_1_0_1_1_
217,1731,2142,sol_2_0_1_1_1_1_1_1_0_1_0_
386,2527,3250,sol_4_1_2_2_1_2_2_2_0_1_1_
217,1731,2142,sol_2_0_2_2_1_1_1_1_0_1_0_
349,2351,2938,sol_4_0_1_1_1_1_1_2_0_0_1_
384,4725,6436,sol_16_1_2_1_1_1_2_2_0_1_1_
235,4672,6095,sol_16_1_2_1_2_1_1_2_0_0_1_
578,1322,1547,sol_1_1_2_1_1_2_1_2_0_0_0_
236,2022,2347,sol_2_1_1_1_2_2_2_2_0_1_0_
578,1322,1547,sol_1_1_1_1_2_2_1_2_0_0_0_
457,2509,3187,sol_2_0_1_1_1_1_2_1_0_1_2_
225,1821,2258,sol_2_0_2_1_2_2_2_1_0_1_1_
576,4231,6408,sol_16_0_2_1_2_1_1_2_0_0_0_
236,2976,3900,sol_8_1_2_1_1_1_1_2_0_1_0_
194,3576,4709,sol_8_1_1_1_1_2_1_2_0_1_2_
58,4136,5407,sol_16_0_2_2_1_1_1_1_0_1_0_
58,4136,5407,sol_16_0_1_2_1_2_1_1_0_1_0_
576,4231,6408,sol_16_1_2_2_2_1_1_2_0_0_0_
217,2660,3408,sol_4_0_1_1_1_1_1_1_0_1_2_
236,1700,2066,sol_1_1_1_1_2_2_2_1_0_0_1_
58,5012,6209,sol_16_1_2_1_1_1_1_2_0_1_2_
387,3142,4217,sol_8_0_1_2_2_1_2_2_0_1_1_
58,4806,6147,sol_16_1_2_1_2_2_1_1_0_1_2_
58,4258,5447,sol_16_0_2_1_1_1_1_1_0_1_1_
195,2797,3792,sol_8_1_2_2_2_2_1_1_0_1_0_
545,2249,2847,sol_1_0_2_2_2_2_2_1_0_1_2_
236,2468,3212,sol_4_1_1_2_1_2_2_2_0_1_0_
194,2110,2711,sol_4_1_1_1_1_1_1_1_0_1_1_
195,2110,2713,sol_4_1_2_1_2_1_1_1_0_0_1_
58,4258,5447,sol_16_0_2_1_2_2_1_1_0_1_1_
386,2527,3218,sol_4_1_1_1_1_1_2_2_0_1_1_
194,3442,4581,sol_8_1_1_2_1_2_1_1_0_1_2_
394,3946,5680,sol_16_1_1_2_1_2_2_1_0_0_0_
389,2336,2972,sol_4_0_2_2_2_2_2_2_0_1_1_
236,2951,3955,sol_8_1_1_2_1_2_1_2_0_1_0_
578,1790,2361,sol_4_1_1_2_1_1_1_2_0_0_0_
217,2660,3408,sol_4_0_1_1_2_2_1_1_0_1_2_
217,1182,1410,sol_2_0_2_2_1_2_1_1_0_0_0_
213,3557,4646,sol_8_0_1_1_2_2_2_1_0_1_2_
576,4334,6439,sol_16_0_2_2_1_2_2_2_0_0_0_
269,2188,2790,sol_4_0_1_1_2_2_2_1_0_1_0_
581,1833,2434,sol_4_0_1_1_2_2_2_2_0_0_0_
247,2933,3885,sol_8_0_1_1_2_1_2_1_0_1_0_
61,5014,6201,sol_16_1_2_1_1_2_2_2_0_1_2_
578,1281,1511,sol_1_1_1_1_1_1_2_2_0_0_0_
194,2282,2877,sol_2_1_2_2_2_1_1_1_0_1_2_
194,2214,2787,sol_1_1_2_2_1_1_2_1_0_1_2_
585,1370,1669,sol_2_0_1_2_1_2_1_2_0_0_0_
391,4100,5746,sol_8_0_1_2_1_1_2_2_0_1_2_
213,3594,4710,sol_8_0_1_1_2_2_1_2_0_1_2_
386,1925,2387,sol_2_1_2_1_1_1_1_2_0_1_1_
234,4343,5813,sol_16_0_1_1_2_1_2_1_0_1_0_
309,2316,2878,sol_4_0_2_2_2_1_1_2_0_1_0_
394,3946,5680,sol_16_0_2_1_2_2_2_1_0_0_0_
473,1285,1556,sol_2_0_2_1_2_2_2_1_0_0_0_
387,3087,4231,sol_8_0_2_1_2_2_2_2_0_1_1_
545,1701,2147,sol_1_0_2_1_2_1_2_1_0_1_1_
578,1790,2361,sol_4_1_2_1_1_1_1_2_0_0_0_
585,1431,1698,sol_2_0_2_2_1_1_1_2_0_0_0_
384,4670,6449,sol_16_0_2_2_2_1_1_2_0_1_1_
386,2527,3218,sol_4_1_2_1_1_1_2_2_0_1_1_
473,1285,1556,sol_2_0_2_1_2_1_2_1_0_0_0_
241,1010,1218,sol_1_0_2_1_2_2_1_1_0_0_0_
578,1765,2379,sol_4_1_1_1_1_2_1_2_0_0_0_
236,2927,3891,sol_8_1_2_1_2_2_2_1_0_1_0_
593,1300,1523,sol_1_0_2_2_1_1_2_2_0_0_0_
194,1734,2177,sol_2_1_1_1_1_1_1_1_0_1_1_
66,4217,5543,sol_16_0_1_1_1_2_1_1_0_0_1_
413,2481,3283,sol_4_0_1_2_1_2_2_1_0_1_1_
393,1950,2395,sol_2_0_1_2_2_1_1_2_0_1_1_
194,2356,2910,sol_1_1_1_2_1_1_2_2_0_1_2_
235,4569,6064,sol_16_1_2_2_2_2_2_1_0_0_1_
194,2282,2877,sol_2_1_1_2_1_1_1_1_0_1_2_
236,3147,4503,sol_8_1_1_2_1_2_2_1_0_0_1_
217,1731,2142,sol_2_0_1_1_2_2_1_1_0_1_0_
625,2046,2478,sol_1_0_2_1_1_2_2_2_0_0_1_
217,2802,3536,sol_4_0_2_1_2_2_1_2_0_1_2_
217,1732,2135,sol_2_0_1_1_1_1_1_1_0_0_1_
313,1893,2316,sol_2_0_1_2_1_2_1_2_0_1_0_
241,1010,1218,sol_1_0_2_2_2_2_1_1_0_0_0_
194,3536,4645,sol_8_1_1_1_2_2_2_1_0_1_2_
194,1666,2087,sol_1_1_2_1_1_1_2_1_0_1_1_
625,1382,1590,sol_1_0_1_2_2_2_1_2_0_0_0_
429,2487,3335,sol_4_0_2_2_1_2_2_1_0_1_0_
213,3448,4582,sol_8_0_2_1_2_1_1_1_0_1_2_
225,1560,1910,sol_1_0_1_1_1_1_1_1_0_1_1_
387,3037,4167,sol_8_0_2_1_2_2_1_2_0_1_1_
313,1893,2316,sol_2_0_1_1_2_2_1_2_0_1_0_
213,3557,4646,sol_8_0_2_2_2_1_2_1_0_1_2_
194,3019,3871,sol_4_1_2_2_1_2_2_2_0_1_2_
457,2509,3187,sol_2_0_1_2_1_2_2_1_0_1_2_
391,3433,4984,sol_8_0_1_1_1_2_2_1_0_0_1_
609,1929,2287,sol_1_0_2_2_1_2_1_2_0_1_0_
429,1938,2666,sol_4_0_2_2_1_1_2_1_0_0_0_
625,1495,1743,sol_1_0_2_2_2_2_2_2_0_0_0_
194,3542,4608,sol_8_1_2_1_2_1_1_2_0_1_2_
194,2282,2877,sol_2_1_1_1_2_1_1_1_0_1_2_
236,3154,4502,sol_8_1_1_1_1_1_2_1_0_1_0_
236,3057,3993,sol_8_1_1_1_1_1_1_2_0_0_1_
195,2894,3879,sol_8_1_2_1_1_2_1_1_0_0_1_
393,2013,2459,sol_2_0_2_2_2_1_2_2_0_1_1_
205,2108,2705,sol_4_0_2_1_1_1_1_1_0_0_1_
457,2655,3315,sol_2_0_1_2_1_2_2_2_0_1_2_
379,1815,2515,sol_4_1_2_2_1_1_2_1_0_0_0_
394,3946,5680,sol_16_0_2_2_2_1_2_1_0_0_0_
473,1966,2414,sol_2_0_1_1_2_1_1_2_0_0_1_
236,2219,2757,sol_4_1_2_2_2_1_2_1_0_1_0_
407,2899,4326,sol_8_0_1_2_1_2_2_1_0_0_0_
194,2894,3881,sol_8_1_2_2_1_2_1_1_0_1_1_
394,3946,5680,sol_16_0_2_1_1_2_2_1_0_0_0_
236,2022,2347,sol_2_1_2_1_2_2_2_2_0_1_0_
247,3038,3992,sol_8_0_1_2_2_1_2_1_0_0_1_
66,4217,5543,sol_16_1_1_2_1_2_1_1_0_0_1_
195,2110,2713,sol_4_1_2_2_1_1_1_1_0_0_1_
384,4661,6380,sol_16_1_2_2_2_2_2_2_0_1_1_
61,5014,6201,sol_16_0_2_2_1_1_2_2_0_1_2_
58,4258,5447,sol_16_0_2_1_2_1_1_1_0_1_1_
236,3147,4503,sol_8_1_2_1_1_2_2_1_0_0_1_
213,2077,2672,sol_4_0_1_1_2_1_1_1_0_1_0_
393,2018,2417,sol_2_0_2_2_2_1_2_2_0_1_0_
194,1805,2241,sol_2_1_2_2_2_1_2_1_0_1_1_
58,4136,5407,sol_16_0_2_2_2_2_1_1_0_1_0_
196,1184,1420,sol_2_1_1_1_2_2_1_1_0_0_0_
213,3594,4710,sol_8_0_1_2_2_2_1_2_0_1_2_
236,2240,2821,sol_4_1_1_1_2_2_1_2_0_1_0_
236,1700,2067,sol_1_1_1_1_1_1_2_1_0_0_1_
386,2061,2533,sol_2_1_1_1_1_2_2_2_0_1_1_
194,1562,1919,sol_1_1_2_1_1_1_1_1_0_1_1_
194,1887,2363,sol_2_1_2_2_1_1_2_1_0_1_1_
194,2424,3005,sol_2_1_2_1_1_2_1_2_0_1_2_
194,2658,3411,sol_4_1_1_2_2_2_1_1_0_1_2_
225,2440,3022,sol_2_0_1_1_1_2_1_2_0_1_2_
217,2802,3536,sol_4_0_2_2_1_2_1_2_0_1_2_
545,1700,2116,sol_1_0_2_2_1_1_2_1_0_0_1_
545,1701,2148,sol_1_0_2_2_1_2_2_1_0_1_1_
236,1896,2307,sol_2_1_2_2_2_2_1_2_0_0_1_
195,2797,3792,sol_8_1_1_2_1_1_1_1_0_1_0_
194,2204,2775,sol_4_1_2_1_2_1_2_1_0_1_1_
195,2407,2892,sol_1_1_1_1_2_2_1_2_0_1_2_
625,2044,2476,sol_1_0_1_1_2_2_2_2_0_1_0_
379,1159,1348,sol_1_1_1_1_1_1_2_1_0_0_0_
58,4806,6147,sol_16_1_1_1_2_1_1_1_0_1_2_
473,1414,1796,sol_2_0_1_2_1_1_2_1_0_0_0_
429,2643,3463,sol_4_0_2_2_1_2_2_2_0_1_0_
413,2636,3441,sol_4_0_2_1_1_2_2_2_0_0_1_
209,5036,6647,sol_16_1_2_1_2_1_2_1_0_1_2_
457,2102,2599,sol_2_0_1_1_1_1_2_2_0_0_1_
313,1822,2252,sol_2_0_2_2_2_2_2_1_0_1_0_
313,1822,2252,sol_2_0_2_2_2_1_2_1_0_1_0_
59,3516,4626,sol_16_0_2_2_2_2_1_1_0_0_0_
236,1880,2219,sol_2_1_2_1_2_1_2_1_0_1_0_
195,2077,2681,sol_4_1_2_2_1_1_1_1_0_1_0_
413,2481,3283,sol_4_0_2_2_1_1_2_1_0_1_1_
576,4231,6408,sol_16_1_2_2_1_2_1_2_0_0_0_
194,2988,3945,sol_8_1_2_1_2_2_2_1_0_1_1_
194,2800,3539,sol_4_1_1_1_1_2_1_2_0_1_2_
236,1700,2066,sol_1_1_2_2_2_1_2_1_0_0_1_
195,2077,2681,sol_4_1_2_2_2_2_1_1_0_1_0_
194,2988,3945,sol_8_1_1_2_2_2_2_1_0_1_1_
267,3022,3989,sol_8_0_1_2_1_1_1_2_0_1_0_
236,1897,2292,sol_2_1_1_2_1_1_1_2_0_0_1_
236,1897,2292,sol_2_1_1_1_1_1_1_2_0_0_1_
217,2660,3408,sol_4_0_1_2_2_2_1_1_0_1_2_
195,2407,2892,sol_1_1_2_1_2_2_1_2_0_1_2_
247,3089,4056,sol_8_0_2_2_2_2_1_2_0_0_1_
234,4446,5844,sol_16_0_1_1_1_1_1_2_0_1_0_
58,4258,5447,sol_16_0_1_2_2_1_1_1_0_1_1_
269,2282,2897,sol_4_0_1_2_2_2_1_2_0_0_1_
391,3982,5686,sol_8_0_2_2_1_1_2_1_0_1_2_
267,3022,3989,sol_8_0_2_2_1_1_1_2_0_1_0_
236,2461,3213,sol_4_1_2_1_1_2_2_2_0_0_1_
386,2268,2919,sol_4_1_1_1_1_2_1_2_0_1_1_
236,2336,3084,sol_4_1_2_1_1_2_2_1_0_1_0_
234,4549,5875,sol_16_1_2_2_1_2_2_2_0_1_0_
247,3089,4056,sol_8_0_1_2_2_2_1_2_0_0_1_
625,2045,2477,sol_1_0_2_2_2_2_2_2_0_0_1_
194,2110,2619,sol_1_1_1_1_2_2_1_1_0_1_2_
257,2853,3572,sol_4_0_2_2_2_1_1_2_0_1_2_
236,2281,2870,sol_4_1_2_2_1_2_1_2_0_0_1_
