latency,FF,LUT,solution
112,1532,2131,sol_16_1_2_1_8_
150,1305,1494,sol_1_1_1_2_4_
194,840,1056,sol_2_1_1_2_2_
28,1215,1705,sol_16_0_1_1_16_
225,731,862,sol_1_0_2_1_1_
211,1259,1685,sol_8_0_1_2_4_
28,1215,1705,sol_16_0_1_2_1_
194,769,992,sol_2_1_1_2_1_
174,1456,1706,sol_2_1_1_1_4_
194,725,868,sol_1_1_1_2_1_
229,1612,1943,sol_4_0_1_1_4_
194,725,868,sol_1_1_1_1_1_
150,1309,1494,sol_1_1_2_1_4_
225,731,862,sol_1_0_1_1_1_
194,1048,1278,sol_2_1_2_2_4_
194,725,868,sol_1_1_2_2_1_
186,1603,2024,sol_4_1_1_1_4_
112,1532,2131,sol_16_1_1_1_8_
209,1513,2283,sol_8_0_2_1_2_
211,1117,1557,sol_8_0_1_2_2_
241,1983,2193,sol_1_0_1_1_8_
213,866,1134,sol_4_0_2_1_16_
217,1099,1334,sol_2_0_2_2_4_
194,857,1137,sol_4_1_2_1_1_
208,1628,2423,sol_16_0_1_2_8_
194,857,1137,sol_4_1_2_2_1_
194,857,1137,sol_4_1_1_2_16_
194,1033,1488,sol_8_1_2_1_16_
225,853,1045,sol_1_0_1_1_2_
28,1215,1705,sol_16_1_1_2_16_
217,776,986,sol_2_0_1_1_16_
194,857,1137,sol_4_1_2_1_16_
194,725,868,sol_1_1_2_1_1_
28,1215,1705,sol_16_1_2_2_1_
213,1591,1937,sol_4_0_2_2_8_
227,2131,2563,sol_8_0_2_1_8_
192,1655,2181,sol_8_1_1_1_4_
208,1572,2299,sol_16_1_1_2_4_
217,776,986,sol_2_0_1_2_1_
194,769,992,sol_2_1_2_1_1_
40,1330,1786,sol_16_1_2_1_2_
194,1486,1843,sol_4_1_1_2_8_
28,1215,1705,sol_16_1_2_1_16_
28,1215,1705,sol_16_0_1_2_16_
213,866,1134,sol_4_0_2_1_1_
213,1165,1549,sol_4_0_1_1_2_
227,1700,2141,sol_8_0_2_1_4_
28,1215,1705,sol_16_1_1_2_1_
194,725,868,sol_1_1_2_1_16_
194,1033,1488,sol_8_1_1_2_16_
213,866,1134,sol_4_0_1_1_16_
28,1215,1705,sol_16_0_2_2_16_
241,1979,2193,sol_1_0_1_2_8_
229,1612,1943,sol_4_0_2_1_4_
194,1060,1455,sol_4_1_2_1_2_
150,1975,2203,sol_1_1_1_2_8_
208,1572,2299,sol_16_0_2_2_4_
192,1655,2181,sol_8_1_2_1_4_
194,725,868,sol_1_1_1_2_16_
211,1046,1493,sol_8_0_2_2_16_
217,1099,1334,sol_2_0_1_2_4_
174,1984,2355,sol_2_1_2_1_8_
28,1215,1705,sol_16_1_2_1_1_
194,769,992,sol_2_1_1_1_16_
194,1033,1488,sol_8_1_2_2_1_
150,1975,2203,sol_1_1_2_2_8_
233,1993,2327,sol_2_0_2_1_8_
227,1700,2141,sol_8_0_1_1_4_
233,1462,1679,sol_2_0_2_1_4_
194,1033,1488,sol_8_1_1_1_16_
225,731,862,sol_1_0_1_2_16_
194,1464,1736,sol_2_1_1_2_8_
40,1330,1786,sol_16_0_1_1_2_
211,1046,1493,sol_8_0_2_1_16_
194,829,1036,sol_1_1_1_2_2_
192,2074,2590,sol_8_1_1_1_8_
194,1104,1552,sol_8_1_1_2_2_
186,1603,2024,sol_4_1_2_1_4_
194,928,1201,sol_4_1_2_2_2_
213,1079,1326,sol_4_0_2_2_4_
28,1215,1705,sol_16_0_1_1_1_
225,853,1044,sol_1_0_2_2_2_
194,1246,1680,sol_8_1_1_2_4_
211,1259,1685,sol_8_0_2_2_4_
209,1513,2283,sol_8_0_1_1_2_
211,1046,1493,sol_8_0_1_2_1_
174,1456,1706,sol_2_1_2_1_4_
186,2016,2420,sol_4_1_1_1_8_
211,1046,1493,sol_8_0_1_1_1_
150,1309,1494,sol_1_1_1_1_4_
213,866,1134,sol_4_0_1_1_1_
194,906,1150,sol_2_1_2_1_2_
211,1046,1493,sol_8_0_1_1_16_
217,957,1206,sol_2_0_1_1_2_
194,1048,1278,sol_2_1_1_2_4_
217,1471,1716,sol_2_0_1_2_8_
241,1314,1485,sol_1_0_2_1_4_
217,776,986,sol_2_0_1_1_1_
194,1033,1488,sol_8_1_1_1_1_
194,1302,2057,sol_8_1_1_1_2_
194,1530,1936,sol_8_1_2_2_8_
213,937,1198,sol_4_0_2_2_2_
194,769,992,sol_2_1_2_2_16_
213,866,1134,sol_4_0_2_2_1_
28,1215,1705,sol_16_1_2_2_16_
213,1079,1326,sol_4_0_1_2_4_
211,1046,1493,sol_8_0_1_2_16_
64,1428,1910,sol_16_0_2_1_4_
213,866,1134,sol_4_0_2_2_16_
241,1979,2193,sol_1_0_2_2_8_
194,769,992,sol_2_1_2_2_1_
213,866,1134,sol_4_0_1_2_16_
241,1311,1485,sol_1_0_2_2_4_
194,857,1137,sol_4_1_1_2_1_
194,1530,1936,sol_8_1_1_2_8_
229,2027,2338,sol_4_0_2_1_8_
217,1471,1716,sol_2_0_2_2_8_
192,2074,2590,sol_8_1_2_1_8_
217,776,986,sol_2_0_2_2_16_
229,2027,2338,sol_4_0_1_1_8_
186,2016,2420,sol_4_1_2_1_8_
28,1215,1705,sol_16_0_2_1_16_
233,1993,2327,sol_2_0_1_1_8_
208,1628,2423,sol_16_0_2_2_8_
40,1330,1786,sol_16_1_1_1_2_
217,776,986,sol_2_0_1_2_16_
194,906,1150,sol_2_1_1_1_2_
194,1033,1488,sol_8_1_2_2_16_
225,731,862,sol_1_0_2_1_16_
174,1984,2355,sol_2_1_1_1_8_
150,1980,2203,sol_1_1_2_1_8_
194,857,1137,sol_4_1_2_2_16_
217,776,986,sol_2_0_2_2_1_
194,1070,1329,sol_4_1_2_2_4_
208,1628,2423,sol_16_1_2_2_8_
28,1215,1705,sol_16_0_2_2_1_
227,2131,2563,sol_8_0_1_1_8_
194,829,1036,sol_1_1_2_2_2_
